app_id,app_name,vulnerability_id,vulnerability_name,vulnerability_solution,solution_category,criticality,scan_date
APP-008,App-Helix,CVE-2019-33098,Apache Struts RCE,Install security update addressing the vulnerability.,Patch,Medium,5/27/2025
APP-006,App-Flux,CVE-2021-5165,Unauthenticated GraphQL Introspection,Harden configuration per CIS Benchmark.,Configuration,High,9/3/2024
APP-036,App-Javelin,QID-81426,Log4j Remote Code Execution,Disable insecure protocol/cipher and enforce TLS 1.2+.,Configuration,Medium,8/24/2024
APP-011,App-Kilo,CVE-2020-37421,Open Port: Redis,Upgrade component to a supported LTS release.,Upgrade,Critical,10/9/2024
APP-023,App-Wyvern,QID-15695,Unpatched Linux Kernel,Upgrade to the fixed version per vendor advisory.,Patch,Critical,1/18/2025
APP-040,App-Nimbus,CVE-2024-26203,Outdated Nginx Version,Disable insecure protocol/cipher and enforce TLS 1.2+.,Configuration,Low,12/18/2024
APP-007,App-Ganymede,QID-93320,Insecure CORS Policy,Disable insecure protocol/cipher and enforce TLS 1.2+.,Configuration,High,7/30/2025
APP-018,App-Raptor,CVE-2024-84227,SQL Injection in Login,Disable insecure protocol/cipher and enforce TLS 1.2+.,Configuration,High,7/14/2025
APP-036,App-Javelin,CVE-2025-43504,JWT None Algorithm Accepted,Upgrade to the fixed version per vendor advisory.,Patch,High,9/23/2024
APP-014,App-Nova,QID-95909,Exposed .git Directory,Rotate credentials and enforce MFA.,Mitigation,High,1/3/2025
APP-009,App-Ion,QID-44438,Hardcoded Secrets in Repo,Add input validation and sanitize user input.,Mitigation,High,10/30/2024
APP-033,App-Gladius,CVE-2016-7175,Command Injection,Restrict access using firewall rules/VPC SC.,Configuration,High,9/22/2024
APP-025,App-Yonder,QID-79352,Insecure CORS Policy,Install security update addressing the vulnerability.,Patch,Medium,8/5/2025
APP-035,App-Indigo,QID-24621,Server-Side Request Forgery,Implement WAF rule to block exploit patterns.,Mitigation,High,1/2/2025
APP-033,App-Gladius,QID-91959,Kubernetes Dashboard Exposed,Harden configuration per CIS Benchmark.,Configuration,High,11/11/2024
APP-035,App-Indigo,QID-52487,Host Header Injection,Apply vendor patch to latest stable version.,Patch,Low,1/25/2025
APP-016,App-Praxis,CVE-2018-75364,Weak TLS Configuration,Implement WAF rule to block exploit patterns.,Mitigation,Low,5/20/2025
APP-009,App-Ion,CVE-2025-63296,Default Credentials Present,Migrate to latest major version per release notes.,Upgrade,Low,3/25/2025
APP-014,App-Nova,QID-50857,Cross-Site Request Forgery,Replace deprecated library with maintained version.,Upgrade,Low,4/9/2025
APP-008,App-Helix,CVE-2018-9392,Hardcoded Secrets in Repo,Restrict access using firewall rules/VPC SC.,Configuration,High,9/26/2024
APP-004,App-Delta,CVE-2016-5117,JWT None Algorithm Accepted,Disable insecure protocol/cipher and enforce TLS 1.2+.,Configuration,Medium,12/8/2024
APP-035,App-Indigo,CVE-2024-76525,Default Credentials Present,Add input validation and sanitize user input.,Mitigation,Critical,10/9/2024
APP-028,App-Borealis,CVE-2021-54883,Unpatched Linux Kernel,Apply vendor patch to latest stable version.,Patch,High,2/10/2025
APP-007,App-Ganymede,QID-80292,Hardcoded Secrets in Repo,Disable insecure protocol/cipher and enforce TLS 1.2+.,Configuration,Critical,4/14/2025
APP-016,App-Praxis,CVE-2022-73132,SQL Injection in Login,Apply vendor patch to latest stable version.,Patch,Low,12/20/2024
APP-011,App-Kilo,QID-38016,Open Port: MongoDB,Apply vendor patch to latest stable version.,Patch,High,3/8/2025
APP-017,App-Quasar,QID-82845,Insecure SMTP Relay,Harden configuration per CIS Benchmark.,Configuration,High,9/19/2024
APP-038,App-Lattice,CVE-2015-99038,Cross-Site Request Forgery,Install security update addressing the vulnerability.,Patch,High,5/19/2025
APP-011,App-Kilo,CVE-2023-11500,Weak TLS Configuration,Install security update addressing the vulnerability.,Patch,Low,3/15/2025
APP-008,App-Helix,CVE-2018-76880,Exposed .git Directory,Upgrade to the fixed version per vendor advisory.,Patch,Medium,6/6/2025
APP-034,App-Horizon,QID-97782,Insufficient Input Validation,Disable insecure protocol/cipher and enforce TLS 1.2+.,Configuration,High,7/30/2025
APP-020,App-Titan,CVE-2020-99548,Insecure SMTP Relay,Rotate credentials and enforce MFA.,Mitigation,Low,10/11/2024
APP-005,App-Echo,CVE-2018-67307,Cross-Site Request Forgery,Upgrade component to a supported LTS release.,Upgrade,Low,2/26/2025
APP-019,App-Sol,CVE-2022-72200,Remote Desktop Exposed,Migrate to latest major version per release notes.,Upgrade,Critical,10/28/2024
APP-017,App-Quasar,CVE-2016-98310,Insecure Deserialization,Replace deprecated library with maintained version.,Upgrade,Medium,2/12/2025
APP-014,App-Nova,QID-74032,Misconfigured S3 Public Access Block,Apply vendor patch to latest stable version.,Patch,Medium,1/9/2025
APP-003,App-Cosmos,QID-93507,OpenSSL Buffer Overflow,Restrict access using firewall rules/VPC SC.,Configuration,High,8/17/2025
APP-028,App-Borealis,CVE-2015-15663,Clickjacking,Upgrade to the fixed version per vendor advisory.,Patch,Medium,11/4/2024
APP-028,App-Borealis,CVE-2015-41404,Default Credentials Present,Upgrade component to a supported LTS release.,Upgrade,Medium,7/28/2025
APP-007,App-Ganymede,CVE-2023-54264,Unpatched Linux Kernel,Harden configuration per CIS Benchmark.,Configuration,Low,11/19/2024
APP-027,App-Aurora,QID-53540,Apache Struts RCE,Disable insecure protocol/cipher and enforce TLS 1.2+.,Configuration,Critical,8/15/2025
APP-007,App-Ganymede,CVE-2015-62694,Insecure CORS Policy,Add input validation and sanitize user input.,Mitigation,High,12/15/2024
APP-015,App-Orion,QID-62227,Apache Struts RCE,Upgrade component to a supported LTS release.,Upgrade,Low,1/10/2025
APP-023,App-Wyvern,QID-80282,Deserialization of Untrusted Data,Apply vendor patch to latest stable version.,Patch,Low,1/1/2025
APP-012,App-Lumen,QID-24208,Unauthenticated GraphQL Introspection,Migrate to latest major version per release notes.,Upgrade,Medium,4/1/2025
APP-039,App-Monolith,CVE-2016-51488,Deserialization of Untrusted Data,Upgrade component to a supported LTS release.,Upgrade,Medium,8/21/2024
APP-034,App-Horizon,CVE-2025-95297,Cross-Site Request Forgery,Replace deprecated library with maintained version.,Upgrade,Critical,7/27/2025
APP-022,App-Vortex,QID-26334,Open Redirect Vulnerability,Migrate to latest major version per release notes.,Upgrade,High,3/15/2025
APP-019,App-Sol,QID-65108,Clickjacking,Restrict access using firewall rules/VPC SC.,Configuration,Medium,3/16/2025
APP-036,App-Javelin,QID-37549,OpenSSL Buffer Overflow,Replace deprecated library with maintained version.,Upgrade,High,8/1/2025
APP-014,App-Nova,CVE-2022-97463,Deserialization of Untrusted Data,Migrate to latest major version per release notes.,Upgrade,Medium,7/4/2025
APP-022,App-Vortex,CVE-2018-89184,Cross-Site Scripting,Harden configuration per CIS Benchmark.,Configuration,Critical,12/24/2024
APP-031,App-Equinox,CVE-2016-60692,Open Redirect Vulnerability,Add input validation and sanitize user input.,Mitigation,High,11/4/2024
APP-001,App-Atlas,QID-33053,Privilege Escalation via SUID,Install security update addressing the vulnerability.,Patch,High,10/22/2024
APP-030,App-Draco,QID-79616,Default Credentials Present,Rotate credentials and enforce MFA.,Mitigation,Medium,5/6/2025
APP-028,App-Borealis,QID-72216,Clickjacking,Upgrade component to a supported LTS release.,Upgrade,Medium,1/9/2025
APP-034,App-Horizon,QID-45992,Command Injection,Install security update addressing the vulnerability.,Patch,High,1/7/2025
APP-022,App-Vortex,CVE-2023-11561,Insufficient Input Validation,Disable insecure protocol/cipher and enforce TLS 1.2+.,Configuration,Medium,8/17/2025
APP-014,App-Nova,QID-53369,SQL Injection in Login,Implement WAF rule to block exploit patterns.,Mitigation,High,3/24/2025
APP-025,App-Yonder,QID-59857,Unauthenticated GraphQL Introspection,Upgrade to the fixed version per vendor advisory.,Patch,High,3/8/2025
APP-027,App-Aurora,QID-38906,Cross-Site Request Forgery,Disable insecure protocol/cipher and enforce TLS 1.2+.,Configuration,High,9/4/2024
APP-025,App-Yonder,CVE-2025-90016,Missing Rate Limiting,Implement WAF rule to block exploit patterns.,Mitigation,Low,5/21/2025
APP-002,App-Beacon,CVE-2024-74975,Anonymous FTP Enabled,Install security update addressing the vulnerability.,Patch,High,4/14/2025
